"Classement","Title","Vidéo","Image de couverture","Référence groupe musculaire","Muscle cible","Position de depart","Mouvement","Intensite","Thème","serie","Contre-indication","Vidéos (Title)","Programmes-multireference","ID","Created Date","Updated Date","Owner"
15,"Elévation latérale debout 1 bras derrière les dos + élastique","wix:video://v1/796ff8_bacfc805c004465aac0402fff2e567c4/15.%20El%C3%A9vation%20lat%C3%A9rale%20debout%201%20bras%20derri%C3%A8re%20le%20dos%20+%20%C3%A9lastique.mp4#posterUri=796ff8_bacfc805c004465aac0402fff2e567c4f000.jpg&posterWidth=1920&posterHeight=1080","wix:image://v1/796ff8_033dda8ca35f4edfbc88c89ee619a66f~mv2.png/Capture%20d'%C3%A9cran%202024-02-06%20111906.png#originWidth=1905&originHeight=973","cea3c21b-9f4f-4cab-b39a-cdd91f40291a","<p class=""font_8"">épaules, abdominaux.</p>","<ul class=""font_8"">
  <li><p class=""font_8"">En appui sur la jambe avant, le genou légèrement fléchit. L’autre jambe est en arrière.</p></li>
  <li><p class=""font_8"">Les bras tendus derrière le dos à hauteur du fessier.</p></li>
  <li><p class=""font_8"">Les poignets dirigés vers l’intérieur.</p></li>
</ul>","<ol class=""font_8"">
  <li><p class=""font_8"">Tirer l’élastique sur le côté et amener les mains à hauteur des épaules et pas plus&nbsp;!</p></li>
  <li><p class=""font_8"">Revenir lentement en maintenant les bras tendus sans bloquer les coudes, en position de départ.</p></li>
  <li><p class=""font_8"">Tenir les abdominaux.</p></li>
</ol>","[""Avancé"",""Intermédiaire""]","[""Élévation frontale et latérale""]","<p class=""font_8""><strong>3x12 </strong>répétitions</p>","<p class=""font_8"">problème d’épaule</p>","/videos/el%C3%A9vation-lat%C3%A9rale-debout-1-bras-derri%C3%A8re-les-dos-%2B-%C3%A9lastique",,"33214ba7-536e-4bce-ad00-9dcc37302804",2024-02-06T09:46:15Z,2024-02-22T10:47:41Z,"796ff8d4-ffae-4c88-896b-2c1dc46fb8d3"
20,"Tirage poitrine lat pull down","wix:video://v1/bf2cdd_2811f94483ac48368cd089d5a07e49df/20.%20Dos%20tirage%20poitrine%20lat%20pull%20down%20(1).mp4#posterUri=bf2cdd_2811f94483ac48368cd089d5a07e49dff000.jpg&posterWidth=1920&posterHeight=1080","wix:image://v1/bf2cdd_3507f28744df4c83a13e5ecfebadd73d~mv2.png/Machine_20.png#originWidth=2383&originHeight=1212","0bf221d1-ef71-4b55-bbab-98af50c1c6bf","<p class=""font_8"">Grand dorsal, biceps.</p>","<ul class=""font_8"">
  <li><p class=""font_8"">Assis avec le dos légèrement incliné vers l’arrière</p></li>
  <li><p class=""font_8"">Les bras tendus vers le haut avec les coudes souples.</p></li>
  <li><p class=""font_8"">Les cuisses maintenues sous le rouleau.</p></li>
  <li><p class=""font_8"">Courbe lombaire neutre.</p></li>
</ul>","<ol class=""font_8"">
  <li><p class=""font_8"">Tirer les deux coudes vers l’arrière et amener la barre au-dessus de la poitrine.</p></li>
  <li><p class=""font_8"">Revenir bras tendu sans bloquer les coudes.</p></li>
  <li><p class=""font_8"">Tenir les abdominaux.</p></li>
</ol>","[""Tout niveau""]","[""Dos""]","<p class=""font_8""><strong>3x 12</strong> répétitions</p>","<p class=""font_8"">dos</p>","/videos/tirage-poitrine-lat-pull-down",,"343a6e3c-cfee-4380-b08d-e5945d757e90",2024-02-13T15:28:37Z,2024-02-14T10:59:15Z,"bf2cdd2d-7f76-485d-a6fe-ff64bca3e5c0"
2,"Triceps debout + élastique derrière le dos","wix:video://v1/796ff8_f6ee9812cf6e4686a4e5163216995204/2.%20Triceps%20debout%20+%20%C3%A9lastique%20au%20dos.mp4#posterUri=796ff8_f6ee9812cf6e4686a4e5163216995204f000.jpg&posterWidth=1920&posterHeight=1080","wix:image://v1/796ff8_f4a210df44cf41c49d228c5c3a1ee590~mv2.png/Capture%20d'%C3%A9cran%202024-02-06%20101445.png#originWidth=1905&originHeight=999","80aca233-c8c6-4da5-88c7-70001ba70723","<p class=""font_8"">Triceps, épaules.</p>","<ul class=""font_8"">
  <li><p class=""font_8"">Debout les genoux souples.</p></li>
  <li><p class=""font_8"">Un bras tendu le long de l’oreille, l’autre en bas du dos tient l’élastique.</p></li>
  <li><p class=""font_8"">Allonger la colonne vertébrale.</p></li>
</ul>","<ol class=""font_8"">
  <li><p class=""font_8"">Descendre là main derrière la tête en fléchissant le coude.</p></li>
  <li><p class=""font_8"">Puis tendre les bras sans écarter le coude pour revenir en position de départ.</p></li>
  <li><p class=""font_8"">Tenir les abdominaux.</p></li>
</ol>","[""Débutant""]","[""Triceps""]","<p class=""font_8""><strong>3X12</strong> répétitions</p>","<p class=""font_8"">épicondylite (coude) et problème de mobilité d’épaule</p>","/videos/triceps-debout-%2B-%C3%A9lastique-derri%C3%A8re-le-dos",,"3465599f-aff5-4373-8036-95e6dd7568e4",2024-02-06T08:38:46Z,2024-02-22T10:45:11Z,"796ff8d4-ffae-4c88-896b-2c1dc46fb8d3"
44,"Pompe pieds sur le banc + main au sol","wix:video://v1/bf2cdd_7f7cd08b39a94eb6921cae3ad4fa5ebe/44%20Pompe%20pieds%20sur%20le%20banc%20+%20mains%20sol%20(1).mp4#posterUri=bf2cdd_7f7cd08b39a94eb6921cae3ad4fa5ebef000.jpg&posterWidth=1920&posterHeight=1080","wix:image://v1/bf2cdd_b5de566342cd46febf4c4a0dac9c5755~mv2.png/44.png#originWidth=2389&originHeight=1336","8588833d-67e0-4d7d-bccd-6556d67313d3","<p class=""font_8"">Pectoraux, triceps, abdominaux.</p>","<ul class=""font_8"">
  <li><p class=""font_8"">La tête et les omoplates en appui sur le ballon, le bassin décollé, les pieds sur le banc.</p></li>
  <li><p class=""font_8"">Les bras tendus avec les haltères à hauteur du haut de la poitrine.</p></li>
  <li><p class=""font_8"">Courbe lombaire neutre.</p></li>
</ul>","<ol class=""font_8"">
  <li><p class=""font_8"">Descendre le buste le plus bas possible, en fléchissant les deux coudes.</p></li>
  <li><p class=""font_8"">Puis remonter les bras tendus sans bloquer les coudes.</p></li>
  <li><p class=""font_8"">Tenir les abdominaux.</p></li>
</ol>","[""Intermédiaire"",""Avancé""]","[""Pompe""]","<p class=""font_8""><strong>3x12 </strong>répétitions</p>","<p class=""font_8"">épaule</p>","/videos/pompe-pieds-sur-le-banc-%2B-main-au-sol",,"346a36e6-3ef9-4367-86ea-b54cb7ad88f9",2024-02-25T11:47:20Z,2024-02-25T19:14:58Z,"bf2cdd2d-7f76-485d-a6fe-ff64bca3e5c0"
80,"Gainage assis sur le ballon + relevé de jambe","wix:video://v1/bf2cdd_2db46110e35a4c9aa75c81e8f4d4109a/80.%20Gainage%20assis%20sur%20le%20ballon%20+%20relev%C3%A9%20de%20jambe%20(1).mp4#posterUri=bf2cdd_2db46110e35a4c9aa75c81e8f4d4109af000.jpg&posterWidth=1920&posterHeight=1080","wix:image://v1/bf2cdd_5e0e1362f7b64e5e8da7579da5e20c26~mv2.png/80.png#originWidth=2406&originHeight=1250","61628dfe-73ca-4e31-9ee8-f74deca4b3f9","<p class=""font_8"">Transverse, dos.</p>","<ul class=""font_8"">
  <li><p class=""font_8"">Assis sur le ballon</p></li>
  <li><p class=""font_8"">Allonger la colonne vertébrale.</p></li>
  <li><p class=""font_8"">Courbe lombaire neutre.</p></li>
</ul>","<ol class=""font_8"">
  <li><p class=""font_8"">Maintenir la position en contractant un peu les abdominaux.</p></li>
  <li><p class=""font_8"">Lever lentement un pied après l’autre en maintenant l’équilibre.</p></li>
  <li><p class=""font_8"">Inspirer sur le mouvement. Expirer avec la bouche.</p></li>
</ol>","[""Tout niveau""]","[""Gainage""]","<p class=""font_8""><strong>2x 12</strong> répétitions</p>","<p class=""font_8"">aucune</p>","/videos/gainage-assis-sur-le-ballon-%2B-relev%C3%A9-de-jambe",,"351b26e6-59ab-43c4-b66d-d2f988c4df91",2024-02-08T10:06:23Z,2024-02-16T19:52:56Z,"bf2cdd2d-7f76-485d-a6fe-ff64bca3e5c0"
33,"Gainage oblique à genoux avec bosu et pieds décollés","wix:video://v1/bf2cdd_fab7ea7c0ad5465c838562758ac69e8e/33.%20Gainage%20oblique%20%C3%A0%20genoux%20sur%20le%20Bosu%20+%20pieds%20d%C3%A9coll%C3%A9s%20F%20(1).mp4#posterUri=bf2cdd_fab7ea7c0ad5465c838562758ac69e8ef000.jpg&posterWidth=1920&posterHeight=1080","wix:image://v1/bf2cdd_7d48b7d7d3aa4b8693664fa916f4047c~mv2.png/33.png#originWidth=2393&originHeight=1216","61628dfe-73ca-4e31-9ee8-f74deca4b3f9","<p class=""font_8"">Obliques et épaules.</p>","<ul class=""font_8"">
  <li><p class=""font_8"">A genoux sur le bosu avec les pieds décollés.</p></li>
  <li><p class=""font_8"">Dos neutre.</p></li>
  <li><p class=""font_8"">Tête dans le prolongement de la colonne.</p></li>
  <li><p class=""font_8"">Élastique à la main.</p></li>
</ul>","<ol class=""font_8"">
  <li><p class=""font_8"">Tourner sur le côté avec les bras tendus en stabilisant le bassin.</p></li>
  <li><p class=""font_8"">Revenir en contractant un peu les abdominaux.</p></li>
  <li><p class=""font_8"">Expirer sur le mouvement.</p></li>
</ol>","[""Intermédiaire""]","[""Gainage"",""Oblique""]","<p class=""font_8"">2x 30 à 60 secondes.</p>","<p class=""font_8"">aucune</p>","/videos/gainage-oblique-%C3%A0-genoux-avec-bosu-et-pieds-d%C3%A9coll%C3%A9s",,"35232200-ba31-46c6-8000-fc4077b86951",2024-02-08T09:35:41Z,2024-02-16T19:52:41Z,"bf2cdd2d-7f76-485d-a6fe-ff64bca3e5c0"
24.3,"Gainage oblique sur le côté avec flexion de hanche","wix:video://v1/bf2cdd_5eeec4ae034f4e94968db51e49e11504/24.3%20Gainage%20oblique%20sur%20le%20c%C3%B4t%C3%A9%20avec%20flexion%20de%20hanche%20(1).mp4#posterUri=bf2cdd_5eeec4ae034f4e94968db51e49e11504f000.jpg&posterWidth=1920&posterHeight=1080","wix:image://v1/bf2cdd_43fc00f96d3644bd9b91caeaff0ae0c8~mv2.png/24.3.png#originWidth=2358&originHeight=1295","61628dfe-73ca-4e31-9ee8-f74deca4b3f9","<p class=""font_8"">Obliques.</p>","<ul class=""font_8"">
  <li><p class=""font_8"">Couché sur le côté.</p></li>
  <li><p class=""font_8"">Une main allongée au sol et l’autre derrière la tête.</p></li>
  <li><p class=""font_8"">Jambes tendues.</p></li>
</ul>","<ol class=""font_8"">
  <li><p class=""font_8"">Relever le buste en même temps que les deux genoux.</p></li>
  <li><p class=""font_8"">Amener les deux genoux vers la poitrine et toucher la cheville de la main.</p></li>
  <li><p class=""font_8"">Revenir en position départ.</p></li>
  <li><p class=""font_8"">Expirez à chaque relevé.</p></li>
</ol>","[""Avancé""]","[""Gainage"",""Oblique""]","<p class=""font_8""><strong>3x 15 à 20</strong> répétitions</p>","<p class=""font_8"">aucune</p>","/videos/gainage-oblique-sur-le-c%C3%B4t%C3%A9-avec-flexion-de-hanche",,"35753406-788e-4adf-9b72-4d40aa04eb67",2024-02-08T09:35:36Z,2024-02-16T19:52:40Z,"bf2cdd2d-7f76-485d-a6fe-ff64bca3e5c0"
,,,,,,,,,,,,,,"357fa56a-5046-444e-8621-72e6e824b050",2024-02-13T18:22:09Z,2024-02-13T18:22:09Z,"bf2cdd2d-7f76-485d-a6fe-ff64bca3e5c0"
2,"3.2 - Fente sol + haltère","wix:video://v1/796ff8_48716ff5871d4efc8e0a3372475b380a/4.%20Fente%20avec%20halt%C3%A8re%20H.mp4#posterUri=796ff8_48716ff5871d4efc8e0a3372475b380af000.jpg&posterWidth=1920&posterHeight=1080","wix:image://v1/796ff8_342ae0c648ce48debc28ceaee351d05e~mv2.png/Capture%20d%E2%80%99%C3%A9cran%202024-02-16%20%C3%A0%2008.28.06.png#originWidth=2138&originHeight=1188",,"<p class=""font_8"">fessier, cuisse, ischio, mollet.</p>","<ul class=""font_8"">
  <li><p class=""font_8"">Aligner le genou de la jambe avant sous la cheville.</p></li>
  <li><p class=""font_8"">Le genou de la jambe arrière est fléchi et la jambe relâchée.</p></li>
  <li><p class=""font_8"">Haltères aux mains</p></li>
</ul>","<ol class=""font_8"">
  <li><p class=""font_8"">Transférer le poids du corps sur la jambe avant.</p></li>
  <li><p class=""font_8"">Descendre en poussant légèrement le fessier vers l’arrière.</p></li>
  <li><p class=""font_8"">Amener l’arrière cuisse de la jambe avant parallèlement au sol au maximun.</p></li>
  <li><p class=""font_8"">Remonter sans bloquer le genou et en maintenant l’axe genou-cheville.</p></li>
  <li><p class=""font_8"">Inspirer sur la descente et tenir les abdominaux.</p></li>
</ol>","[""Tout niveau""]",,"<p class=""font_8""><strong>3x 15</strong> répétitions</p>","<p class=""font_8"">Genoux</p>","/videos/3.2---fente-sol-%2B-halt%C3%A8re","[""ab540922-0112-40ed-8fb8-be03b235758a""]","3594d516-c122-4b7f-985b-07c48551fd28",2024-02-13T23:07:35Z,2024-02-16T08:11:28Z,"796ff8d4-ffae-4c88-896b-2c1dc46fb8d3"
31,"Pompe à genoux mains sur le bosu","wix:video://v1/bf2cdd_a3cd13c653d44a0e8f2c9fef5ee5a1bd/31.%20Pompe%20%C3%A0%20genoux%20+%20main%20bosu%20(1).mp4#posterUri=bf2cdd_a3cd13c653d44a0e8f2c9fef5ee5a1bdf000.jpg&posterWidth=1920&posterHeight=1080","wix:image://v1/bf2cdd_8dc47f6ba2e349d4898c6e50b26c9315~mv2.png/31.png#originWidth=2379&originHeight=1325","8588833d-67e0-4d7d-bccd-6556d67313d3","<p class=""font_8"">Pectoraux, triceps, abdominaux.</p>","<ul class=""font_8"">
  <li><p class=""font_8"">Les genoux à 45°, les mains légèrement vers l’avant sur le bosu.</p></li>
  <li><p class=""font_8"">Courbe lombaire neutre.</p></li>
</ul>","<ol class=""font_8"">
  <li><p class=""font_8"">Descendre le buste en fléchissant les deux coudes et toucher le bosu.</p></li>
  <li><p class=""font_8"">Puis remonter les bras tendus sans bloquer les coudes.</p></li>
  <li><p class=""font_8"">Maintenir le plus possible le bosu stable.</p></li>
  <li><p class=""font_8"">Tenir les abdominaux.</p></li>
</ol>","[""Tout niveau""]","[""Pompe""]","<p class=""font_8""><strong>3x12 </strong>répétitions</p>","<p class=""font_8"">épaule</p>","/videos/pompe-%C3%A0-genoux-mains-sur-le-bosu",,"3701e650-4111-449a-be89-6e433520e77e",2024-02-16T08:52:23Z,2024-02-16T11:19:15Z,"bf2cdd2d-7f76-485d-a6fe-ff64bca3e5c0"
1,"4.1 - Fente arrière + fente avant avec haltère.","wix:video://v1/796ff8_a24bc849c77c45428002cef8227f48ed/24.%20Fente%20avant%20et%20fente%20arri%C3%A8re.mp4#posterUri=796ff8_a24bc849c77c45428002cef8227f48edf000.jpg&posterWidth=1920&posterHeight=1080","wix:image://v1/796ff8_280f68d6de6a4a4a9ed6bdac3504e26a~mv2.png/Capture%20d%E2%80%99%C3%A9cran%202024-02-16%20%C3%A0%2008.33.10.png#originWidth=2146&originHeight=1192",,"<p class=""font_8"">fessier, cuisse, ischio, mollet.</p>","<ul class=""font_8"">
  <li><p class=""font_8"">Pieds largeur des épaules.</p></li>
  <li><p class=""font_8"">Haltère aux mains.</p></li>
</ul>","<ol class=""font_8"">
  <li><p class=""font_8"">Faire un pas en arrière et enchainer avec une flexion du genou.</p></li>
  <li><p class=""font_8"">Revenir en position de départ en mettant le poids du corps sur la jambe d’appui.</p></li>
  <li><p class=""font_8"">Repartir avec la même jambe en faisant un pas en avant et une flexion du genou.</p></li>
  <li><p class=""font_8"">Revenir en position de départ.</p></li>
  <li><p class=""font_8"">Inspirer sur la descente et tenir les abdominaux</p></li>
</ol>","[""Tout niveau""]","[""Jambe""]","<p class=""font_8""><strong>3X 12 à 15</strong> Répétitions</p>","<p class=""font_8"">Genoux</p>","/videos/4.1---fente-arri%C3%A8re-%2B-fente-avant-avec-halt%C3%A8re.","[""149ca0d8-98c3-4d8c-8dd0-e6a49cd9f049""]","37953019-ef0a-4ad9-892b-b5749d0777d7",2024-02-13T23:40:37Z,2024-02-16T08:11:06Z,"796ff8d4-ffae-4c88-896b-2c1dc46fb8d3"
14,"Elévation latérale 1 bras devant + élastique","wix:video://v1/bf2cdd_6d0bb7692ee04365946546e70a149991/14.%20El%C3%A9vation%20lat%C3%A9rale%201%20bras%20devant%20+%20%C3%A9lastique%20(1).mp4#posterUri=bf2cdd_6d0bb7692ee04365946546e70a149991f000.jpg&posterWidth=1920&posterHeight=1080","wix:image://v1/bf2cdd_0819ec38f58b4b8b809d5d908dadb47a~mv2.png/Epaule_14.png#originWidth=2385&originHeight=1328","cea3c21b-9f4f-4cab-b39a-cdd91f40291a","<p class=""font_8"">épaules, abdominaux.</p>","<ul class=""font_8"">
  <li><p class=""font_8"">En appui sur la jambe avant, le genou légèrement fléchit. L’autre jambe est en arrière.</p></li>
  <li><p class=""font_8"">Les bras tendus vers l’avant sous le bassin.</p></li>
  <li><p class=""font_8"">Les poignets dirigés vers l’intérieur.</p></li>
</ul>","<ol class=""font_8"">
  <li><p class=""font_8"">Tirer l’élastique sur le côté et amener les mains à hauteur des épaules et pas plus&nbsp;!</p></li>
  <li><p class=""font_8"">Revenir lentement en maintenant les bras tendus sans bloquer les coudes, en position de départ.</p></li>
  <li><p class=""font_8"">Tenir les abdominaux.</p></li>
</ol>","[""Tout niveau""]","[""Elévation""]","<p class=""font_8""><strong>3x15 </strong>répétitions</p>","<p class=""font_8"">épaule</p>","/videos/el%C3%A9vation-lat%C3%A9rale-1-bras-devant-%2B-%C3%A9lastique",,"379f8d22-c0ea-4ffb-a594-44ae1d84501c",2024-02-13T19:00:56Z,2024-02-14T16:42:01Z,"bf2cdd2d-7f76-485d-a6fe-ff64bca3e5c0"
3,"DV debout position de fente + poulie milieu","wix:video://v1/bf2cdd_fed284b1c97c49db800e76ab35f58ce1/3.%20DV%20position%20de%20fente%20+%20poulies%20hautes.mp4#posterUri=bf2cdd_fed284b1c97c49db800e76ab35f58ce1f000.jpg&posterWidth=1920&posterHeight=1080","wix:image://v1/bf2cdd_d44b465e77a046bfbf53881b39a275a7~mv2.png/3.png#originWidth=2378&originHeight=1332","8588833d-67e0-4d7d-bccd-6556d67313d3","<p class=""font_8"">Pectoraux, triceps.</p>","<ul class=""font_8"">
  <li><p class=""font_8"">Genoux et cheville de la jambe avant alignés.</p></li>
  <li><p class=""font_8"">Le genou de la jambe arrière est fléchi.</p></li>
  <li><p class=""font_8"">Le dos penché en avant à partir des hanches.</p></li>
  <li><p class=""font_8"">La courbe lombaire neutre.</p></li>
  <li><p class=""font_8"">Les coudes fléchis à 90° et les mains sous les épaules.</p></li>
</ul>","<ol class=""font_8"">
  <li><p class=""font_8"">Tendre les bras et le rejoindre en fin de mouvement sans bloquer les coudes.</p></li>
  <li><p class=""font_8"">Revenir les coudes fléchis à 90° derrière les épaules.</p></li>
  <li><p class=""font_8"">Tenir les abdominaux.</p></li>
</ol>","[""Tout niveau""]","[""Développé""]","<p class=""font_8""><strong>3x12 </strong>répétitions</p>","<p class=""font_8"">épaule</p>","/videos/dv-debout-position-de-fente-%2B-poulie-milieu",,"384374ae-5fdf-48f3-8e5d-831a1ae241a0",2024-02-25T11:47:11Z,2024-02-26T19:35:31Z,"bf2cdd2d-7f76-485d-a6fe-ff64bca3e5c0"
24,"Développé nuque","wix:video://v1/bf2cdd_d98ade6fa3264b7eb323bf2fb6e3456e/24.%20Epaule%20DV%20nuque%20(1).mp4#posterUri=bf2cdd_d98ade6fa3264b7eb323bf2fb6e3456ef000.jpg&posterWidth=1920&posterHeight=1080","wix:image://v1/bf2cdd_bb3f0549830a427f9a4f1c735255da2b~mv2.png/Machine_24.png#originWidth=2385&originHeight=1219","0bf221d1-ef71-4b55-bbab-98af50c1c6bf","<p class=""font_8"">Epaule</p>","<ul class=""font_8"">
  <li><p class=""font_8"">Assis sur le siège</p></li>
  <li><p class=""font_8"">Les coudes fléchis le long du corps.</p></li>
  <li><p class=""font_8"">Courbe lombaire neutre.</p></li>
</ul>","<ol class=""font_8"">
  <li><p class=""font_8"">Tendre les deux bras sans bloquer les coudes.</p></li>
  <li><p class=""font_8"">Revenir lentement en position de départ.</p></li>
  <li><p class=""font_8"">Tenir les abdominaux.</p></li>
</ol>","[""Tout niveau""]","[""Epaule""]","<p class=""font_8""><strong>3x 12</strong> répétitions</p>","<p class=""font_8"">épaule</p>","/videos/d%C3%A9velopp%C3%A9-nuque",,"384893b6-00d4-4662-a919-b98a320a6b4c",2024-02-13T15:31:01Z,2024-02-14T10:59:22Z,"bf2cdd2d-7f76-485d-a6fe-ff64bca3e5c0"
,,,,,,,,,,,,,,"38911751-1c00-414b-99c5-2953ee4f7acd",2024-02-26T10:51:10Z,2024-02-26T10:51:10Z,"bf2cdd2d-7f76-485d-a6fe-ff64bca3e5c0"
42,"Squat + biceps curl","wix:video://v1/bf2cdd_32fb7234109143f9bb78814886de3779/42..%20Squat%20biceps%20F.mp4#posterUri=bf2cdd_32fb7234109143f9bb78814886de3779f000.jpg&posterWidth=1920&posterHeight=1080","wix:image://v1/bf2cdd_7660960570de4263aa61662ec6cf9d7e~mv2.png/42.png#originWidth=2330&originHeight=1320","3adfd7b8-6131-4f87-bb02-4374a997e7a9","<p class=""font_8"">Fessier, cuisse, ischio, mollet.</p>","<ul class=""font_8"">
  <li><p class=""font_8"">Debout, pieds parallèles largeur des épaules.</p></li>
  <li><p class=""font_8"">Bras tendu le long du corps.</p></li>
  <li><p class=""font_8"">Haltère aux mains.</p></li>
</ul>","<ol class=""font_8"">
  <li><p class=""font_8"">Descendre en poussant le fessier légèrement vers l’arrière et fléchir les genoux.</p></li>
  <li><p class=""font_8"">Les genoux peuvent avancer jusqu’à la pointe des pieds.</p></li>
  <li><p class=""font_8"">Amener les arrières cuisses parallèlement au sol.</p></li>
  <li><p class=""font_8"">Remonter sans bloquer les genoux et fléchir les deux coudes.</p></li>
  <li><p class=""font_8"">Inspirer sur la descente et tenir les abdominaux.</p></li>
</ol>","[""Tout niveau""]","[""Squat""]","<p class=""font_8""><strong>3x15</strong> répétitions</p>","<p class=""font_8"">genoux</p>","/videos/squat-%2B-biceps-curl",,"38c88025-9cda-4033-a26c-0fb5b9bdbc95",2024-02-12T15:34:25Z,2024-02-16T19:57:39Z,"bf2cdd2d-7f76-485d-a6fe-ff64bca3e5c0"
4,"1.4 - Extension de jambes tendues avec ballon au cheville et tête au sol","wix:video://v1/796ff8_5ac2fd6cc71b451896463f2860b44713/10.1%20extension%20de%20jambes%20tendues%20avec%20ballon%20au%20cheville%20et%20t%C3%AAte%20au%20sol.mp4#posterUri=796ff8_5ac2fd6cc71b451896463f2860b44713f000.jpg&posterWidth=1920&posterHeight=1080","wix:image://v1/796ff8_79030862cace474e9caa3c2c0f4e4952~mv2.png/Capture%20d%E2%80%99%C3%A9cran%202024-02-16%20%C3%A0%2008.11.05.png#originWidth=2134&originHeight=1194",,"<p class=""font_8"">Transverse – muscle profond de l’abdomen, épaule</p>","<ul class=""font_8"">
  <li><p class=""font_8"">Couché sur le dos.</p></li>
  <li><p class=""font_8"">Courbe lombaire neutre.</p></li>
  <li><p class=""font_8"">Bras le long du corps.</p></li>
  <li><p class=""font_8"">Jambes tendues à 90°</p></li>
</ul>","<ol class=""font_8"">
  <li><p class=""font_8"">Tendre les jambes l’une après l’autre entre 45° et 90° et descendre les bras à hauteur des oreilles.</p></li>
  <li><p class=""font_8"">Revenir en position départ.</p></li>
  <li><p class=""font_8"">Expirez à chaque extension de jambes.</p></li>
</ol>","[""Débutant"",""Intermédiaire""]","[""Abdominaux""]","<p class=""font_8""><strong>1x 15 à 20</strong> répétitions</p>","<p class=""font_8"">Lombalgie</p>","/videos/1.4---extension-de-jambes-tendues-avec-ballon-au-cheville-et-t%C3%AAte-au-sol","[""2a974ea6-6745-4021-a86e-878a844c9360""]","3a679e5b-2689-4656-b086-c6c4414f256b",2024-02-13T20:19:41Z,2024-02-16T07:14:48Z,"796ff8d4-ffae-4c88-896b-2c1dc46fb8d3"
16,"Butterfly couché sol + haltère","wix:video://v1/bf2cdd_36d8df4ca97849fd94b7aa45eba7a586/16%20Butterfly%20couch%C3%A9%20sol%20avec%20halt%C3%A8re%20(1).mp4#posterUri=bf2cdd_36d8df4ca97849fd94b7aa45eba7a586f000.jpg&posterWidth=1920&posterHeight=1080","wix:image://v1/bf2cdd_e465dece05ed4d509a3f19c0b20292a3~mv2.png/16.png#originWidth=2330&originHeight=1325","8588833d-67e0-4d7d-bccd-6556d67313d3","<p class=""font_8"">Pectoraux, épaule, chaines postérieures.</p>","<ul class=""font_8"">
  <li><p class=""font_8"">Couché au sol, les genoux fléchis avec les pieds au sol.</p></li>
  <li><p class=""font_8"">Les bras tendus avec les haltères à hauteur du haut de la poitrine.</p></li>
  <li><p class=""font_8"">Courbe lombaire neutre.</p></li>
</ul>","<ol class=""font_8"">
  <li><p class=""font_8"">Descendre bras tendus sur le côté, à hauteur des épaules</p></li>
  <li><p class=""font_8"">Remonter les bras tendus sans bloquer les coudes à hauteur du haut de la poitrine.</p></li>
  <li><p class=""font_8"">Tenir les abdominaux.</p></li>
</ol>","[""Tout niveau""]","[""Butterfly""]","<p class=""font_8""><strong>3x12 </strong>répétitions</p>","<p class=""font_8"">épaule</p>","/videos/butterfly-couch%C3%A9-sol-%2B-halt%C3%A8re",,"3a89867d-c2b7-423b-ba84-5abcd332bcdf",2024-02-16T08:52:15Z,2024-02-16T10:55:56Z,"bf2cdd2d-7f76-485d-a6fe-ff64bca3e5c0"
35,"Pompe sur les pieds + mains sur le bosu","wix:video://v1/bf2cdd_a0343c7fb16c4d01817f60122db941c4/35.%20Pompe%20sur%20les%20pieds%20%20+%20mains%20bosu%20(1).mp4#posterUri=bf2cdd_a0343c7fb16c4d01817f60122db941c4f000.jpg&posterWidth=1920&posterHeight=1080","wix:image://v1/bf2cdd_077855c28535403f96e593080c68846c~mv2.png/35.png#originWidth=2382&originHeight=1221","8588833d-67e0-4d7d-bccd-6556d67313d3","<p class=""font_8"">Pectoraux, triceps.</p>","<ul class=""font_8"">
  <li><p class=""font_8"">Les mains légèrement en avant sur le bosu.</p></li>
  <li><p class=""font_8"">Les pieds écartés, ancrés au sol.</p></li>
  <li><p class=""font_8"">Courbe lombaire neutre.</p></li>
</ul>","<ol class=""font_8"">
  <li><p class=""font_8"">Descendre le buste en fléchissant les deux coudes et toucher le bosu.</p></li>
  <li><p class=""font_8"">Puis remonter les bras tendus sans bloquer les coudes.</p></li>
  <li><p class=""font_8"">Maintenir la stabilité du bosu.</p></li>
  <li><p class=""font_8"">Tenir les abdominaux.</p></li>
</ol>","[""Intermédiaire"",""Avancé""]","[""Pompe""]","<p class=""font_8""><strong>3x12 </strong>répétitions</p>","<p class=""font_8"">épaule</p>","/videos/pompe-sur-les-pieds-%2B-mains-sur-le-bosu",,"3a998ec8-86e8-4801-be45-8ea09ff47d89",2024-02-16T08:52:28Z,2024-02-16T11:19:50Z,"bf2cdd2d-7f76-485d-a6fe-ff64bca3e5c0"
