Title;Muscle cible;Position de depart;Mouvement;Thème;serie;Contre-indication
Pompe jack nife sur le ballon tout niveau;Pectoraux, triceps, abdominaux.;"Les cuisses en appui au centre du ballon.

Les mains plus larges que les épaules.

Courbe lombaire neutre.";"Descendre le buste le plus bas possible, en fléchissant les deux coudes.

Remonter les bras tendus sans bloquer les coudes puis faire rouler le ballon vers la poitrine.

Revenir jambes tendues en maintenant le fessier légèrement vers le haut.

Tenir les abdominaux.";Pompe;3x12 répétitions;épaule
Triceps à genoux sur le bosu + poulie et corde;Triceps, épaules, abdominaux.;"A genoux au sol au centre du bosu.

Les bras fléchis à 90 °

Allonger la colonne vertébrale.";"Tendre les bras sans écarter les coudes de la taille puis revenir en fléchissant les coudes à

90°.

Tenir les abdominaux.";Triceps;3X15 répétitions;épicondylite
Pont épaulé 1 pied au sol;Fessier, ischio, dos.;"Couché sur le sol, les fessiers près du banc avec un pied sur le banc.

L’autre jambe est tendue.

L’élastique band au-dessus des genoux.";"Monter le fessier et aligner les genoux, les hanches et les épaules.

Le poids du corps repose sur le haut des omoplates.

Puis descendre lentement le fessier au sol.

Expirer lors du mouvement et tenir les abdominaux.";Pont épaulé;3x 15 répétitions;dos
7.8 - Bucheron un genou sur le bosu + 1 main step + pied décollé;Grand dorsal, biceps, transverse.;"Un genou en appui sur le bosu et une main en appui sur le step.

L’autre jambe est tendue et le pied décollé

Dos incliné et parallèle au sol.

Bras tendu et dirigé vers le sol.

Courbe du dos neutre.

Tête dans le prolongement de la colonne vertébrale.";"Tirer le coude vers le haut et amener l’haltère vers la poitrine.

Revenir lentement sans bloquer les coudes.

Tenir les abdominaux.";;3x 12 répétitions;Aucune
Tirage poitrine assis ballon + 2 poulies hautes;Grand dorsal, biceps.;"Assis sur le ballon avec la courbe lombaire neutre.

Bras tendus vers le haut.";"Tirer les coudes vers la taille.

Revenir bras tendus sans bloquer les coudes.

Tenir les abdominaux.";Tirage;3X15 répétitions;aucune
;;;;;;
Fente pied avant bosu + pied arrière banc + haltère;Fessier, cuisse, ischio, mollet.;"Pied avant au centre du bosu et pied arrière sur le banc.

Aligner le genou de la jambe avant sous la cheville.

Le genou de la jambe arrière est fléchit et la jambe relâchée.

Haltère aux mains.";"Transférer le poids du corps sur la jambe avant.

Descendre en poussant légèrement le fessier vers l’arrière.

Amener l’arrière cuisse de la jambe avant parallèlement au sol au maximun.

Remonter sans bloquer le genou et en maintenant l’axe genou-cheville.

Inspirer sur la descente et tenir les abdominaux.";Fente;3x15 répétitions;genoux
Squat;Fessier, cuisse, ischio, mollet.;"Debout, pieds parallèles largeur des épaules.

L’élastique band au-dessus des genoux.";"Descendre en poussant le fessier légèrement vers l’arrière et fléchir les genoux.

Les genoux peuvent avancer jusqu’à la pointe des pieds.

Amener les arrières cuisses parallèlement au sol.

Remonter sans bloquer les genoux.

Inspirer sur la descente et tenir les abdominaux.";Fessier jambe;3x 15 à 20 répétitions;aucune
Abduction de hanche coucher et les pieds banc;Abducteur, TFL, fessier, ischio, dos.;"Couché sur le sol, les fessiers près du banc et les pieds largeur du bassin sur le banc.

L’élastique band au-dessus des genoux.";"Monter le fessier puis tirer l’élastique vers l’extérieur.

Ramener les genoux dans l’axe des hanches et redescendre.

Expirer lors du mouvement et tenir les abdominaux.";Fessier jambe;3x 15 à 20 répétitions;aucune
Presse à cuisse verticale;fessier, cuisse, ischio, mollet;"Debout, pieds parallèles sur l’avant du plateau et largeur des épaules

Le fessier et le dos contre le siège.

Les épaules sous les coussinets.";"Descendre en fléchissant les genoux.

Amener les arrières cuisses parallèlement au sol.

Remonter sans bloquer les genoux.

Inspirer sur la descente et tenir les abdominaux.";Cuisse et arrière cuisse;3x 12 répétitions;aucune
Tirage bras tendus alternés couché sur le ballon + haltère;Grand dorsal, biceps.;"Positionner la poitrine et le bassin sur le ballon.

Les bras tendus le long du corps.

La tête dans le prolongement de la colonne vertébrale.

Ancrer les pieds dans le sol.";"Effectuer un demi-cercle en maintenant les bras tendus.

Amener les bras à hauteur des oreilles.

Tenir les abdominaux.";Tirage;3X15 répétitions;aucune
1.3 - Crunch au sol avec genoux 90°;Droit de l’abdomen;"Couché sur le dos.

Courbe lombaire neutre.

Main derrière la tête.

Genoux à 90°";"Relever le buste, en gardant l’espace d’un point entre le menton et le corps.

Expirez en faisant le mouvement.

Revenir sans poser la tête au sol.";Abdominaux;1x 15 à 20 répétitions;Aucune
Traction verticale jambes tendues + prise large (niveau avancé);Grand dorsal, biceps.;"Jambes tendues et les pieds croisés.

Prise de main plus large que les épaules et les bras tendus.

Courbe lombaire neutre.";"Soulever son poids de corps en fléchissant les coudes et amener le visage près de la barre.

Maintenir la stabilité du bassin.

Revenir lentement sans bloquer les coudes.

Tenir les abdominaux.";Traction;3X15 répétitions;épaule
DV militaire position de fente + barre;épaules, biceps, abdominaux.;"En appui sur la jambe avant, le genou légèrement fléchit. L’autre jambe est en arrière.

Les coudes fléchis et la barre au niveau des clavicules.

Mains largeur des épaules, les poignets dirigés vers l’extérieur.";"Monter la barre vers l’avant et au- dessus de la tête.

Revenir lentement en fléchissant les coudes, en position de départ.

Tenir les abdominaux.";Développé militaire;3x12 répétitions;problème d’épaule
Planche à genoux sol;Transverse, épaule.;"Couché sur le dos.

Courbe lombaire neutre.

Main derrière la tête.

Genoux à 90°";"Relever le buste, en gardant l’espace d’un point entre le menton et le corps.

Expirez en faisant le mouvement.

Revenir sans poser la tête au sol.";Gainage;2x 30 à 60 secondes;aucune
Bucheron un genou sur le bosu + 1 main step + pied décollé;Grand dorsal, biceps, transverse.;"Un genou en appui sur le bosu et une main en appui sur le step.

L’autre jambe est tendue et le pied décollé

Dos incliné et parallèle au sol.

Bras tendu et dirigé vers le sol.

Courbe du dos neutre.

Tête dans le prolongement de la colonne vertébrale.";"Tirer le coude vers le haut et amener l’haltère vers la poitrine.

Revenir lentement sans bloquer les coudes.

Tenir les abdominaux.";Bucheron;3X15 répétitions;aucune
Pistol + main TRX;Fessier, cuisse, ischio, mollet.;"Transférer le poids du corps sur la jambe d’appui.

Descendre en poussant le fessier vers l’arrière.

Amener l’arrière cuisse de la jambe d’appui parallèlement au sol, ou plus.

Remonter sans bloquer le genou.

Inspirer sur la descente et tenir les abdominaux.";"Transférer le poids du corps sur la jambe d’appui.

Descendre en poussant le fessier vers l’arrière.

Amener l’arrière cuisse de la jambe d’appui parallèlement au sol, ou plus.

Remonter sans bloquer le genou.

Inspirer sur la descente et tenir les abdominaux.";Fente;3x15 répétitions;genoux
9.5 - Oiseau position de fente + haltère;Haut du dos, épaules;"Genoux et cheville de la jambe avant alignés.

Le genou de la jambe arrière est fléchi.

Le dos penché en avant à partir des hanches.

La courbe lombaire neutre.

La tête dans le prolongement de la colonne.

Les coudes fléchis sur le côté.";"Soulever les haltères sur le côté en gardant les coudes fléchis.

Serrer les omoplates.

Revenir lentement sans bloquer les coudes.

Tenir les abdominaux.";;3x 30 secondes;épaule
Biceps alterné à genoux sur le ballon;Biceps, épaules, abdominaux.;"Les genoux en appui sur l’extérieur du ballon.

Les bras légèrement tendus devant le corps et les coudes souples.

La courbe du dos neutre.";"Fléchir un coude et amener l’haltères près du bras.

Puis tendre le bras, sans bloquer le coude, pour revenir en position de départ.

Repartir avec l’autre bras.

Tenir les abdominaux.";Biceps;3x 12 répétitions;épicondylite (coude)
Fente pied arrière banc + pied avant bosu + barre;Fessier, cuisse, ischio, mollet.;"Pied avant au centre du bosu et pied arrière sur le banc.

Aligner le genou de la jambe avant sous la cheville.

Le genou de la jambe arrière est fléchit et la jambe relâchée.

Positionner la barre sur le haut du dos et non pas sur la nuque.";"Transférer le poids du corps sur la jambe avant.

Descendre en poussant légèrement le fessier vers l’arrière.

Amener l’arrière cuisse de la jambe avant parallèlement au sol au maximun.

Remonter sans bloquer le genou et en maintenant l’axe genou-cheville.

Inspirer sur la descente et tenir les abdominaux.";Fente;3x15 répétitions;genoux
8.6 - Adduction des omoplates contre le mur;Haut du dos;"Debout, le haut du dos contre le mur.

Les coudes sous l’articulations de l’épaule et contre le mur.

Avancer les pieds à 50 cm du mur.";"En poussant les coudes dans le mur, décoller le haut du dos du mur. Inspirer.

Revenir doucement, le haut du dos contre le mur.";;2x 10 à 12 répétitions;épaule
Squat bosu + biceps curl;Fessier, cuisse, ischio, mollet.;"Debout, pieds parallèles largeur des épaules.

Bras tendu le long du corps.

Haltère aux mains.";"Descendre en poussant le fessier légèrement vers l’arrière et fléchir les genoux.

Les genoux peuvent avancer jusqu’à la pointe des pieds.

Amener les arrières cuisses parallèlement au sol.

Remonter sans bloquer les genoux et fléchir les deux coudes.

Inspirer sur la descente et tenir les abdominaux.";Squat;3x15 répétitions;genoux, épicondylite
8.7 - Coiffe des rotateur assis sur le ballon + élastique;épaules, abdominaux.;"Assis sur le ballon avec la courbe lombaire neutre.

Les coudes fléchis près de la taille et dirigés vers le plafond

L’élastique dans les mains.";"Tirer l’élastique sur le côté en gardant l’espace d’une serviette entre le coude et le corps.

Revenir lentement en maintenant les coudes près de la taille en position de départ.

Tenir les abdominaux.";;2x 12 répétitions;Aucune
Traction horizontale jambe tendues + prise serrée;Grand dorsal, biceps.;"Jambes tendues en appui sur les pieds.

Prise de la barre largeur des épaules et les bras tendus.

Le corps à peu d’inclinaison.

Courbe lombaire neutre.";"Soulever son poids de corps en fléchissant les coudes et amener le haut de la poitrine sur la barre.

Les coude longes le corps lors du mouvement.

Maintenir la stabilité du bassin.

Revenir lentement sans bloquer les coudes.

Tenir les abdominaux.";Traction;3X12 répétitions;instabilité d’épaule-épicondylite
Coiffe des rotateur assis sur le ballon + élastique;épaules, abdominaux.;"Assis sur le ballon avec la courbe lombaire neutre.

Les coudes fléchis près de la taille et dirigés vers le plafond

L’élastique dans les mains.";"Tirer l’élastique sur le côté en gardant l’espace d’une serviette entre le coude et le corps.

Revenirlentement en maintenant les coudes près de la taille en position de départ.

Tenir lesabdominaux.";Rotation externe et interne;3x12 répétitions;aucune
3.5 - Tirage poitrine à genoux + 2 sangles ou élastique;Grand dorsal, biceps.;"À genoux au sol

Bras tendus vers l’avant.";"Tirer les coudes vers l’arrière et resserrer les omoplates.

Les mains viennent vers les épaules.

Revenir lentement sans bloquer les coudes.

Tenir les abdominaux.";;3x 15 à 20 répétitions;Aucune
Abduction des hanches incliné;abducteur, TFL, moyen fessier;"Assis avec le dos incliné vers l’avant.

Les genoux contre les coussinets intérieurs.

Les pieds placer sur la première barre des plateaux.";"Ouvrir le plus possible les hanches sans bouger le bassin.

Revenir lentement en position de départ.";Abduction et adduction;3x 12 répétitions;aucune
Gainage planche avant-bras sur roller + relevé de jambe.;Transverse, épaule.;"Coude et épaule alignés en appuie sur le bosu.

Tête dans le prolongement de la colonne.

Courbe lombaire neutre.";"Maintenir la position en contractant un peu les abdominaux.

Relevé la jambe lentement l’une après l’autre. (Bien tendre la jambe)

Maintenir le bassin statique et à la même hauteur durant l’exercice.

Inspirer avec le nez et expirer avec la bouche.";Gainage;2x 12 répétitions;problème cardio vasculaire, dos
Rowing position de squat + barre;Grand dorsal, biceps.;"Debout, les genoux fléchis. Dos incliné vers l’avant.

Bras tendus. Mains à la barre, largeur des hanches.

Poignet dirigé soit vers le haut, soit vers le bas.

Courbe lombaire neutre.";"Tirer la barre vers le nombril.

Revenir lentement sans bloquer les coudes.

Tenir les abdominaux.";Rowing;3X12 répétitions;douleur lombaire et épicondylite
Crunch pike avec ballon;Droit de l’abdomen et adducteurs.;"Fessier et haut du dos sur le ballon.

Main derrière la tête.

Genoux fléchis et pieds au sol.";"Relever le buste, en gardant l’espace d’un point entre le menton et le corps.

Redescendre en posant le haut du dos sur le ballon.

Expirez en faisant le mouvement.";Crunch;3x 12 à 15 répétitions;douleur lombaire
Oiseau couché ballon + haltère;Haut du dos, épaules.;"Le haut de la poitrine et le bassin sur le ballon.

La tête dans le prolongement de la colonne.

Les coudes fléchis sur le côté.";"Soulever les haltères sur le côté en gardant les coudes fléchis et serrer les omoplates.

Revenir lentement en position de départ.

Tenir les abdominaux.";;3X15 répétitions;épaule
;;;;;;
8.8 - Position de l’enfant stretching;Dos;"S’accroupir au sol avec les bras le long du corps.

Le front touche le sol";"Maintenir le dos rond.

Gonfler le ventre à chaque inspiration et vider l’air des poumons à chaque expiration sans forcer.

Maintenir 1 minute et plus.";;2x 60 secondes;genoux
Ischios leg curl + pieds TRX;Ischio, dos.;"Couché au sol avec les deux pieds dans les sangles du TRX.

Soulever les hanches et aligner si possible les épaules, le bassin et les genoux.

Abdominaux contractés.";"Fléchir les genoux et amener les pieds vers le fessier.

Revenir en position de départ sans tendre les jambes.

Expirer lors de la flexion.";Ischio;3x15 répétitions;aucune
Butterfly couché banc + relevé de bassin + haltère;Pectoraux, triceps, chaines postérieures.;La courbe lombaire neutre.;"Descendre bras tendus sur le côté, à hauteur des épaules

Remonter les bras tendus sans bloquer les coudes à hauteur du haut de la poitrine.

Tenir les abdominaux.";Butterfly;3x12 répétitions;épaule
Traction horizontale jambe tendues + prise serré (niveau avancé);Grand dorsal, biceps.;"Jambes tendues en appui sur les pieds.

Prise de la barre largeur des épaules et les bras tendus.

Le corps à peu d’inclinaison.

Courbe lombaire neutre.";"Soulever son poids de corps en fléchissant les coudes et amener le haut de la poitrine sur la

barre.

Les coude longes le corps lors du mouvement.

Maintenir la stabilité du bassin.

Revenir lentement sans bloquer les coudes.

Tenir les abdominaux.";Traction;3X15 répétitions;épaule
;;;;;;
Mountain climber niveau 2;Abdominaux, épaule.;"En position de planche, les poignets sous les épaules, pieds largeur des hanches.

Courbe lombaire neutre. La tête dans le prolongement de la colonne.";"Avancer le genou droit en le fléchissant et en l’alignant avec la hanche puis revenir jambe.

tendue en position de départ sans bouger le bassin.

Répéter avec l’autre jambe.";;3x30 secondes;aucune
;;;;;;
;;;;;;
Gainage oblique sur les pieds;Obliques et épaules.;"Couché sur le dos.

Courbe lombaire neutre.

Main le long du corps.

Jambes tendues.";"Décoller le fessier, en gardant les jambes tendues.

Expirez en faisant le mouvement.

Revenir en posant lentement le fessier au sol et en maintenant les jambes tendues.";Gainage;2x 30 à 60 secondes;problème cardiaque et instabilité d’épaule
10.1 - Gainage planche sur les pieds;Transverse, épaule.;"Coude et épaule alignés en appuie sur les avant-bras et les pieds.

Tête dans le prolongement de la colonne.

Courbe lombaire neutre.";"Maintenir la position en contractant un peu les abdominaux.

Maintenir le bassin statique et à la même hauteur durant l’exercice.

Inspirer avec le nez et expirer avec la bouche.";;2x 30 à 60 secondes.;problème cardio vasculaire
Triceps couché sur le banc + barre;Triceps, épaules.;"Couché sur le banc, les genoux fléchis et les pieds sur le banc.

Les bras tendus avec la barre à hauteur du haut de la poitrine.

Courbe lombaire neutre.";"Descendre la barre derrière la tête en fléchissant les coudes.

Remonter la barre bras tendus sans bloquer, ni bouger les coudes.

Tenir les abdominaux.";Triceps;3X12 répétitions;épicondylite (coude)
Fente en appui sur le ballon;Fessier, cuisse, ischio, mollet.;"Positionner le ballon entre le fessier et le haut du dos.

En appui sur un pieds avec le genou fléchit.";"Descendre le fessier en laissant le ballon rouler vers l’avant.

Maintenir le fessier contre le ballon lors du mouvement.

Remonter le fessier lentement en gardant le genou fléchit.

Inspirer sur la descente.";Fente;3x15 répétitions;genoux
DV couché ballon + pieds banc + haltère;Pectoraux, triceps, chaines postérieures.;Le dos penché en avant à partir des hanches.;"Descendre les haltères légèrement sous les épaules en fléchissant les coudes.

Remonter les bras tendus sans bloquer les coudes à hauteur du haut de la poitrine.

Tenir les abdominaux.";Développé;3x12 répétitions;épaule, dos
10.7 - Arrière cuisse leg curl assis;arrière cuisse;"Assis, le dos contre le siège.

Le coussinet est placé au-dessus des genoux.

Le rouleau est placé derrière le coup du pied.

Les jambes sont tendues.";"Fléchir les 2 genoux et pousser le rouleau vers l’arrière

Revenir en position de départ plus lentement.";;3x 12 répétitions;Aucune
DV couché ballon + élastique;Pectoraux, triceps, chaines postérieures.;"La tête et les omoplates en appui sur le ballon, le bassin décollé, les pieds au sol.

Les bras tendus avec l’élastique à hauteur du haut de la poitrine.

Courbe lombaire neutre.";"Descendre en fléchissant les coudes, légèrement sous les épaules.

Remonter les bras tendus sans bloquer les coudes à hauteur du haut de la poitrine.

Tenir les abdominaux.";Développé;3x12 répétitions;épaule
Genou sur la poitrine couché au sol;Grand fessier;"Couché au sol.

Tendre les jambes au sol";"Amener un genou sur le thorax.

Relâcher les épaules.

Gonfler le ventre à chaque inspiration et vider l’air des poumons à chaque expiration.

Faire la même chose avec l’autre côté.";Abducteur;1x 60 secondes;aucune
Cuisse à plat ventre + flexion de genou;cuisse;A plat ventre avec la tête sur l’avant-bras.;"Plier un genou et le tenir si possible avec la main.

Pousser les hanches dans le sol.

Gonfler le ventre à chaque inspiration et vider l’air des poumons à chaque expiration.

Faire la même chose avec l’autre côté.";Cuisse;1x 60 secondes;problème de genoux
Burpees niveau 1;Fessier, cuisse, ischio, mollet, pectoraux.;"Debout, les pieds largeur des épaules ou un peu plus.

Les mains le long du corps.";"Sauter et se propulser avec force pour décoller du sol jambe tendu.

Se réceptionner en position assis et placer les mains au sol.

Tendre une jambe l’une après l’autre puis ramener un genou vers la poitrine l’un après l’autre.

Puis sauter avec force en décollant les pieds du sol.";;3x30 secondes;problème cardio-vasculaire
Triceps en appui sur le banc + élastique;Triceps, épaules, abdominaux.;"Un genou et une main en appui sur le banc. L’autre jambe est tendue au sol avec le genou fléchit.

Le coude fléchit près du corps.

Courbe du dos neutre.

Tête dans le prolongement de la colonne vertébrale.";"Tendre le bras sans bouger le coude.

Revenir lentement en fléchissant le coude et sans le bloquer.

Tenir les abdominaux.";Triceps;3X15 répétitions;épicondylite
Pompe sur le ballon niveau intermédiaire;Pectoraux, triceps, abdominaux.;"Les cuisses en appui sur le ballon, le bassin hors du ballon.

Les mains légèrement en avant et plus large que les épaules.

Courbe lombaire neutre.";"Descendre le buste le plus bas possible, en fléchissant les deux coudes.

Puis remonter les bras tendus sans bloquer les coudes.

Tenir les abdominaux.";Pompe;3x12 répétitions;épaule
Fente pied arrière banc + barre;Fessier, cuisse, ischio, mollet.;"Pied avant au sol et pied arrière sur le banc.

Aligner le genou de la jambe avant sous la cheville.

Le genou de la jambe arrière est fléchit et la jambe relâchée.

Positionner la barre sur le haut du dos et non pas sur la nuque.";"Transférer le poids du corps sur la jambe avant.

Descendre en poussant légèrement le fessier vers l’arrière.

Amener l’arrière cuisse de la jambe avant parallèlement au sol au maximum.

Remonter sans bloquer le genou et en maintenant l’axe genou-cheville.

Inspirer sur la descente et tenir les abdominaux.";Fente;3x15 répétitions;genoux
Gainage planche avant-bras sur le banc + pieds sur le ballon.;Transverse, épaule.;"Coude et épaule alignés en appuie sur le banc.

Pieds en appui sur le ballon.

Tête dans le prolongement de la colonne.

Courbe lombaire neutre.";"Maintenir la position en contractant un peu les abdominaux.

Maintenir le bassin statique et à la même hauteur durant l’exercice.

Inspirer avec le nez et expirer avec la bouche.";Gainage;2x 30 à 60 secondes.;problème cardio vasculaire, dos.
Banc à lombaire;Lombaire, carré des lombes.;"Le haut des cuisses en appui sur le siège.

Les pieds bloqués sur le plateau.

Les bras sur la poitrine.

Courbe lombaire neutre.";"Fléchir la colonne vertébrale lentement et bas trop bas.

Revenir lentement en alignant les épaules avec le bassin et les pieds.

Tenir les abdominaux.";Dos;3x 12 répétitions;dos
Pompe tibia sur le ballon niveau avancé;Pectoraux, triceps, abdominaux.;"Couché sur le banc, le bassin décollé, les genoux fléchis et les pieds sur le banc.

Les bras tendus avec les haltères à hauteur du haut de la poitrine.

Courbe lombaire neutre.";"Descendre le buste le plus bas possible, en fléchissant les deux coudes.

Puis remonter les bras tendus sans bloquer les coudes.

Tenir les abdominaux.";Pompe;3x12 répétitions;épaule
Jumping jack touché sol niveau avancé;Fessier, cuisse, ischio, mollet.;"Debout, les pieds joins.

Les bras le long du corps";"Sauter en écartant les deux pieds sur le côté et venir toucher le sol main la main droite.

Puis se propulser avec force pour décoller du sol jambe tendu et venir toucher les deux pieds

pour se réceptionner jambes écartées.

Répéter le mouvement et toucher le sol avec la main gauche.";Cardio;3x30 secondes;genoux
Adducteur assis au sol + 1 jambe tendue et un genou fléchi;Adducteur;"Assis au sol.

Une jambe tendue et écartées sur le côté, l’autre jambe à le genou fléchit.

Le dos droit";"Pencher le buste vers l’avant en gardant le dos droit et les mains au sol si possible.

Amener le nombril vers le sol.

Gonfler le ventre à chaque inspiration et vider l’air des poumons à chaque expiration.

Faire la même chose avec l’autre côté.";Adducteur;Maintenir 1 minute et plus.;aucune
2.8 - Biceps debout + barre;Biceps, épaules, abdominaux.;"Debout en appui sur une jambe avec le genou légèrement fléchi. L’autre jambe en arrière.

Les bras légèrement tendus devant le corps et les coudes souples.

La courbe lombaire neutre.";"Tirer la barre près des bras en fléchissant les coudes.

Puis tendre les bras, en maintenant les coudes près de la taille, pour revenir en position de départ.

Tenir les abdominaux.";;3x 12 répétitions;Aucune
;;;;;;
